Pic ID,Date,Bank Name,Zipcode,State,Amount
240,6/12/2021,bank of texas,76028,TX,"10,000.00"
240,6/12/2021,bank of texas,14477,NY,
242,6/12/2021,,,,12.5
243,6/12/2021,,,,
244,6/12/2021,,32571,FL,
261,8/12/2021,community bank,08852-2529,NJ,50
275,5/12/2021,bank of america,7032,NJ,16.02
275,5/12/2021,investors bank,7728,NJ,15.49
275,5/12/2021,signature bank,7090,NJ,"1,641.20"
275,5/12/2021,,19050,PA,
276,5/12/2021,citi,19115,PA,951.99
276,5/12/2021,chase,,,
277,5/12/2021,,19111,PA,"5,772"
278,5/12/2021,bank of america,19152-1710,PA,46.93
279,5/12/2021,pnc bank,19116,PA,173.5
279,11/12/2021,bank of america,33182-2448,FL,
280,11/12/2021,bank of america,33126-6827,FL,
281,11/12/2021,bank of america,34983-3432,FL,600
282,11/12/2021,bank of america,33193-5737,FL,217.11
283,11/12/2021,bank of america,33126-3945,FL,
284,11/12/2021,bank of america,33446-3908,FL,
285,11/12/2021,bank of america,33076-2682,FL,367
286,11/12/2021,bank of america,33472-2412,FL,
287,11/12/2021,bank of america,14020,NY,6.2
289,11/12/2021,,32966,FL,546
290,11/12/2021,td bank,33478,FL,
291,11/12/2021,td bank,,,599.82
292,11/12/2021,,33472,FL,559
293,11/12/2021,,33428,FL,
294,11/12/2021,,33498,FL,
295,11/12/2021,td bank,34953,FL,
304,11/12/2021,chase,72716,AR,900
304,11/12/2021,chase,,,1
305,11/12/2021,wells fargo,72716,AR,2
305,11/12/2021,chase,,,0
307,12/12/2021,bank of america,,,"7,000.00"
311,12/12/2021,,,,5.4
311,12/12/2021,,,,"5,143.00"
311,12/12/2021,,,,3.6
311,12/12/2021,,,,1.8
367,15-12-2021,chase,43213,OH,600
367,15-12-2021,chase,,,60
368,15-12-2021,huntington,43216-1558,OH,640
368,15-12-2021,huntington,43085,OH,125
369,15-12-2021,,43213,OH,251.48
369,15-12-2021,,25064-1613,WV,
370,15-12-2021,pnc bank,43220-3626,OH,494.95
370,15-12-2021,pnc bank,,,296.7
370,15-12-2021,pnc bank,,,247.58
370,15-12-2021,pnc bank,,,126
371,15-12-2021,,43231-2231,OH,120
372,15-12-2021,,43220,OH,
373,15-12-2021,merril,43202,OH,700
373,15-12-2021,merril,43026,OH,
375,15-12-2021,pnc bank,43230-2367,OH,
376,15-12-2021,,43085,OH,75
377,15-12-2021,huntington,43214-3445,OH,292.82
377,15-12-2021,huntington,,,28.06
378,15-12-2021,fifth third bank,,,307
395,16-12-2021,merril,43235,OH,"०3,500.00"
395,16-12-2021,bank of america,,,9.872.30
395,16-12-2021,chase,,,"9,969.75"
395,16-12-2021,,,,"8,915.35"
395,16-12-2021,,,,"3,500.00"
